object	id	taxonomy	obstacles	m1_cal	m2_cal	m3_cal	m4_cal	x	y	z	rx	ry	rz	m1	m2	m3	m4
mustard bottle																	
medium timmies cup	415822.0	12.0	0.0	14510	14943	16462	17892	16.011182	-25.723893	224.158461	0.344246	-3.072404	-0.254602	15882.0	13570.0	17829.0	17497.0
medium timmies cup	415823.0	12.0	0.0	14510	14943	16462	17892	17.443545999999998	-24.064705	223.068548	0.393167	-3.09762	-0.156138	16010.0	13442.0	17958.0	17490.0
medium timmies cup	415824.0	12.0	0.0	14510	14943	16462	17892	12.645124000000001	-22.618872	219.34832999999998	0.304865	-3.081995	-0.128551	15879.0	13571.0	17828.0	17488.0
medium timmies cup	415825.0	12.0	0.0	14510	14943	16462	17892	20.492094	-23.638018	223.353681	0.5795520000000001	-2.997027	-0.22177	15762.0	13690.0	17713.0	17488.0
medium timmies cup	415826.0	12.0	0.0	14510	14943	16462	17892	15.301654999999998	-27.110226	225.135133	0.488145	-3.061241	-0.19731400000000002	15794.0	13656.0	17747.0	17488.0
medium timmies cup	415827.0	12.0	0.0	14510	14943	16462	17892	16.25615	-25.741204	224.71071099999998	0.5431560000000001	-3.000521	-0.205051	15912.0	13539.0	17861.0	17488.0
medium timmies cup	415828.0	12.0	0.0	14510	14943	16462	17892	11.359891000000001	-13.966172	228.30310899999998	0.48353900000000005	-3.109473	-0.19331900000000002	15618.0	13834.0	17569.0	17488.0
medium timmies cup	415829.0	12.0	0.0	14510	14943	16462	17892	11.710811999999999	-29.528691	222.054683	0.61392	-2.976134	-0.197702	15897.0	13552.0	17848.0	17488.0
medium timmies cup	415831.0	12.0	0.0	14510	14943	16462	17892	18.613178	-22.655047	224.941657	0.5745359999999999	-2.991767	-0.181555	16092.0	13357.0	18039.0	17487.0
medium timmies cup	415832.0	12.0	0.0	14510	14943	16462	17892	11.341892999999999	-17.619912	222.282587	0.558661	-3.001471	-0.16479100000000002	15920.0	13531.0	17868.0	17482.0
medium timmies cup	415833.0	12.0	0.0	14510	14943	16462	17892	9.181602	-24.087225	216.59131299999999	0.464491	-3.064179	-0.190815	15847.0	13607.0	17795.0	17488.0
medium timmies cup	415834.0	12.0	0.0	14510	14943	16462	17892	23.318841	-25.579829	229.04653199999998	0.366706	-3.061312	-0.21924200000000002	16112.0	13336.0	18060.0	17488.0
medium timmies cup	415835.0	12.0	0.0	14510	14943	16462	17892	17.771778	-16.187307	226.28822599999998	0.758983	-2.9510919999999996	-0.149541	15875.0	13575.0	17826.0	17488.0
medium timmies cup	415836.0	12.0	0.0	14510	14943	16462	17892	18.481073000000002	-19.97628	226.41023700000002	0.637722	-2.9716810000000002	-0.21570799999999998	15557.0	13893.0	17509.0	17488.0
medium timmies cup	415837.0	12.0	0.0	14510	14943	16462	17892	18.831452	-26.796002	226.947125	0.324571	-3.096651	-0.208981	15984.0	13463.0	17937.0	17488.0
medium timmies cup	415838.0	12.0	0.0	14510	14943	16462	17892	20.084597	-23.59729	225.32912000000002	0.154865	-3.084541	-0.147595	15991.0	13458.0	17941.0	17488.0
medium timmies cup	415839.0	12.0	0.0	14510	14943	16462	17892	12.081988	-11.648822000000001	209.362245	0.212448	-3.056161	0.00036	16011.0	13443.0	17960.0	17488.0
medium timmies cup	415840.0	12.0	0.0	14510	14943	16462	17892	1.747702	-16.574617	207.942351	0.374198	-3.1146990000000003	-0.026372000000000003	15882.0	13569.0	17831.0	17488.0
medium timmies cup	415841.0	12.0	0.0	14510	14943	16462	17892	4.612755	-13.405817	208.204573	-0.66647	-2.9999439999999997	0.028092000000000002	15997.0	13454.0	17948.0	17488.0
medium timmies cup	415842.0	12.0	0.0	14510	14943	16462	17892	19.848413	-9.930339	218.430493	0.364698	-3.1198580000000002	-0.033338	16072.0	13378.0	18019.0	17488.0
medium timmies cup	415843.0	12.0	0.0	14510	14943	16462	17892	8.357149	-16.576627	222.35380299999997	-0.488072	3.083815	0.065535	16105.0	13345.0	18057.0	17488.0
medium timmies cup	415844.0	12.0	0.0	14510	14943	16462	17892	8.364052000000001	-14.619585999999998	218.16555499999998	0.418181	-3.130678	-0.044088999999999996	16070.0	13382.0	18016.0	17488.0
medium timmies cup	415845.0	12.0	0.0	14510	14943	16462	17892	10.133443	-18.167285	218.927911	0.421455	-3.244709	0.00010800000000000001	15863.0	13588.0	17814.0	17488.0
medium timmies cup	415846.0	12.0	0.0	14510	14943	16462	17892	3.369448	-18.632838	218.863376	-0.631518	-3.0057709999999997	0.072903	16030.0	13423.0	17979.0	17488.0
medium timmies cup	415847.0	12.0	0.0	14510	14943	16462	17892	3.84913	-22.797319	221.09422400000003	-0.390208	3.167725	0.035832	16018.0	13433.0	17968.0	17488.0
medium timmies cup	415848.0	12.0	0.0	14510	14943	16462	17892	2.20543	-16.975875	209.119642	0.34178800000000004	-3.105318	-0.019096000000000002	15895.0	13556.0	17844.0	17488.0
medium timmies cup	415849.0	12.0	0.0	14510	14943	16462	17892	14.343585999999998	-22.923773	210.281917	0.067669	-3.1071400000000002	0.010751	16067.0	13386.0	18014.0	17488.0
medium timmies cup	415850.0	12.0	0.0	14510	14943	16462	17892	12.501402	-46.693306	208.313023	-0.204003	-3.0786849999999997	-0.12276	15957.0	13495.0	17906.0	17488.0
medium timmies cup	415851.0	12.0	0.0	14510	14943	16462	17892	9.278882000000001	-15.99465	218.06738700000002	-0.193027	-3.072525	0.049597	15999.0	13449.0	17951.0	17488.0
medium timmies cup	415852.0	12.0	0.0	14510	14943	16462	17892	8.151845	-17.261561999999998	220.67790899999997	-0.43883900000000003	-3.019142	0.024586	15960.0	13490.0	17911.0	17488.0
medium timmies cup	415853.0	12.0	0.0	14510	14943	16462	17892	9.481636	-18.777559	225.68573999999998	0.10431199999999999	-3.097734	-0.047094	15546.0	13905.0	17497.0	17488.0
medium timmies cup	415854.0	12.0	0.0	14510	14943	16462	17892	15.533976999999998	-15.850326999999998	217.226782	0.072369	-3.073587	0.016311000000000003	15963.0	13487.0	17913.0	17488.0
medium timmies cup	415855.0	12.0	0.0	14510	14943	16462	17892	1.778672	-19.369834	222.26856800000002	0.129598	-3.1069560000000003	-0.035003	16076.0	13376.0	18024.0	17488.0
medium timmies cup	415856.0	12.0	0.0	14510	14943	16462	17892	1.806688	-9.261436999999999	213.96699500000003	-0.21180500000000002	-3.087957	-0.020508000000000002	16001.0	13451.0	17950.0	17488.0
medium timmies cup	415857.0	12.0	0.0	14510	14943	16462	17892	13.695372	-15.020201	211.616798	-1.033914	-2.924144	-0.045218	15974.0	13472.0	17926.0	17488.0
medium timmies cup	415858.0	12.0	0.0	14510	14943	16462	17892	1.685309	-84.026328	276.13387400000005	-1.021311	2.882335	0.33831500000000003	15497.0	13953.0	17449.0	17488.0
medium timmies cup	415859.0	12.0	0.0	14510	14943	16462	17892	6.514293	-15.965309	215.78778599999998	-0.40336	-3.031884	-0.039848	15678.0	13773.0	17630.0	17488.0
medium timmies cup	415860.0	12.0	0.0	14510	14943	16462	17892	6.9024600000000005	-16.20824	213.40671	-0.110073	-3.0888970000000002	-0.015446000000000001	15735.0	13716.0	17687.0	17488.0
medium timmies cup	415861.0	12.0	0.0	14510	14943	16462	17892	11.353681	-16.391946	217.97658199999998	-0.387646	-3.012562	0.030721	16039.0	13412.0	17990.0	17488.0
medium timmies cup	415862.0	12.0	0.0	14510	14943	16462	17892	2.854597	-11.721792	216.93565	0.07267	-3.100782	0.010513	16171.0	13281.0	18117.0	17488.0
medium timmies cup	415864.0	12.0	0.0	14510	14943	16462	17892	5.149412	-15.482249	225.637212	-0.118379	-3.112706	-0.085451	15666.0	13786.0	17617.0	17488.0
medium timmies cup	415865.0	12.0	0.0	14510	14943	16462	17892	12.222111	-21.03509	217.13115	-0.163832	-3.0451259999999998	-0.129251	15691.0	13760.0	17643.0	17488.0
medium timmies cup	415866.0	12.0	0.0	14510	14943	16462	17892	15.061075	-10.639592	214.670706	-0.140101	-3.0537520000000002	-0.0026219999999999998	16150.0	13299.0	18099.0	17488.0
medium timmies cup	415867.0	12.0	0.0	14510	14943	16462	17892	9.94767	-15.246948000000001	213.06421699999999	-0.318422	-2.9947169999999996	-0.08932799999999999	15648.0	13804.0	17599.0	17488.0
medium timmies cup	415868.0	12.0	0.0	14510	14943	16462	17892	8.863076	-25.409697	208.312682	-0.056188	-3.066435	-0.121025	15639.0	13813.0	17590.0	17488.0
medium timmies cup	415869.0	12.0	0.0	14510	14943	16462	17892	8.27197	-12.073124	220.190052	-0.09499500000000001	-3.132876	-0.11376099999999999	15623.0	13829.0	17574.0	17488.0
medium timmies cup	415870.0	12.0	0.0	14510	14943	16462	17892	5.668435	-22.97874	209.574419	-0.128245	-3.060278	-0.03379	15565.0	13885.0	17517.0	17488.0
medium timmies cup	415871.0	12.0	0.0	14510	14943	16462	17892	15.059864000000001	-26.309441999999997	217.235109	0.065054	-3.09747	-0.06744	15620.0	13832.0	17571.0	17488.0
medium timmies cup	415872.0	12.0	0.0	14510	14943	16462	17892	6.608308999999999	-16.76696	209.179293	-0.21205	-3.0575240000000004	0.03321	15563.0	13887.0	17515.0	17488.0
medium timmies cup	415873.0	12.0	0.0	14510	14943	16462	17892	11.011883000000001	-15.183019	217.602177	-0.002374	-3.123759	-0.074577	15554.0	13896.0	17506.0	17488.0
medium timmies cup	415874.0	12.0	0.0	14510	14943	16462	17892	10.270681	-11.517411	214.32825499999998	-0.471185	-3.027848	0.09778400000000001	15560.0	13891.0	17511.0	17488.0
medium timmies cup	415875.0	12.0	0.0	14510	14943	16462	17892	5.1971050000000005	-23.730926	210.88090400000002	0.24143	-3.0806080000000002	0.0042	16074.0	13379.0	18021.0	17488.0
medium timmies cup	415876.0	12.0	0.0	14510	14943	16462	17892	0.9514440000000001	-19.942646	202.443281	-0.07767	-3.110622	-0.020316	15976.0	13477.0	17925.0	17488.0
medium timmies cup	415877.0	12.0	0.0	14510	14943	16462	17892	20.643767999999998	-22.819611	212.48212999999998	-0.378127	-3.04583	-0.026073000000000002	15556.0	13893.0	17508.0	17488.0
medium timmies cup	415878.0	12.0	0.0	14510	14943	16462	17892	18.682326999999997	-15.158217	212.424526	-0.435988	-3.006438	0.070984	15724.0	13727.0	17677.0	17488.0
medium timmies cup	415879.0	12.0	0.0	14510	14943	16462	17892	8.631959	-13.312676999999999	221.880563	-0.13425299999999998	-3.087358	0.016978999999999998	15720.0	13732.0	17672.0	17488.0
medium timmies cup	415880.0	12.0	0.0	14510	14943	16462	17892	-1.595523	-26.303633	211.325867	0.026599	-3.091684	0.005829	15941.0	13512.0	17890.0	17488.0
medium timmies cup	415881.0	12.0	0.0	14510	14943	16462	17892	1.172783	-20.422636999999998	227.755908	0.043899	-3.06554	-0.045804000000000004	15655.0	13797.0	17606.0	17488.0
